question,option1,option2,option3,option4,answer
"Khách sạn có đến 47 phòng, được đặt tên theo các huyền thoại lừng danh thế giới là khách sạn nào?",Khách sạn Capella Hanoi,  Khách sạn Novotel Danang Premier Han River Hotel (Đà Nẵng),  New World Phu Quoc Resort (Phú Quốc),  Khách sạn Mercure French Village Bana Hills,1
"Được thiết kế bởi Luke Donald và quản lý bởi Tập đoàn IMG, sân golf đang vận hành nào có 18 lỗ? ",Eschuri Hon Thom Golf,  Bana Hills Golf Club,  Eschuri Vung Bau Golf,  Novotel Golf Club,2
Hệ thống cáp treo nào đạt kỷ lục thế giới với cabin có sức chứa lớn nhất thế giới với 230 người?,Cáp treo Suối Mơ – Bà Nà,  Cáp treo 3 dây của Sun World Fansipan Legend,  Hệ thống cáp treo tại Sun World Ha Long,  Cáp treo Hòn Thơm,3
Ý tưởng thiết kế của dự án Khách sạn JW Marriott Emerald Bay Resort bắt nguồn từ đâu? ,Tuyệt phẩm kiến trúc Pháp,"  Một quán trọ nhỏ, chào đón các ca sĩ opera, nghệ sĩ, nhà soạn nhạc, nhà thiết kế… đến thăm và nghỉ lại trước hoặc sau đêm diễn",  Là tuyệt tác kiến trúc hai mặt biển duy nhất,  Từ một ngôi trường đại học cổ,4
Premier Village Phú Quốc được đánh giá như thế nào trong hệ thống khách sạn của Sun Group?,Là tuyệt tác kiến trúc hai mặt biển duy nhất,  Là tuyệt phẩm kiến trúc Pháp,"  Là một quán trọ nhỏ, chào đón các ca sĩ opera, nghệ sĩ, nhà soạn nhạc, nhà thiết kế… đến thăm và nghỉ lại trước hoặc sau đêm diễn",  Là một ngôi trường đại học cổ,1
InterContinental Danang Sun Peninsula Resort là dự án khách sạn khai trương thứ mấy do Sun Group đầu tư? ,Thứ hai,  Đầu tiên,  Thứ ba,  Thứ tư,2
"Asia Park là công trình nào sở hữu các nét kiến trúc, hình ảnh tượng trưng cho điều gì?",08 quốc gia châu Á,  09 quốc gia châu Á,  10 quốc gia châu Á,  11 quốc gia châu Á,3
"Sun Signature Gallery là công trình do kiến trúc sư Bill Bensley thiết kế nhằm tái hiện, lưu giữ điều gì?",Tuyệt phẩm kiến trúc Pháp,"  Một quán trọ nhỏ, chào đón các ca sĩ opera, nghệ sĩ, nhà soạn nhạc, nhà thiết kế… đến thăm và nghỉ lại trước hoặc sau đêm diễn",  Là tuyệt tác kiến trúc hai mặt biển duy nhất,  Những nét độc đáo nhất của phong cách nghệ thuật Mid Century Modern giữa thế kỷ 20,4
 “Sự hoà quyện của sắc màu dân tộc thiểu số cùng sự quyến rũ của thời trang những năm 1920-1930 với phong cách Pháp Thượng Lưu” là mô tả cho khách sạn nào?,Hotel de la Coupole – Mgallery,  Khách sạn Novotel Danang Premier Han River Hotel (Đà Nẵng),  New World Phu Quoc Resort (Phú Quốc),  Khách sạn Mercure French Village Bana Hills,1
Ông Ngâu - Bà Ngâu là thiết kế lấy cảm hứng từ truyện cổ tích/truyền thuyết Việt Nam cho cây cầu nào?,Cầu Vàng,  Cầu Hôn,  Cầu Sông Hàn,  Cầu Thuận Phước,2
Cuộc hành trình của 1 thương nhân buôn đồ gốm là cảm hứng thiết kế cho khách sạn nào?,Khách sạn Novotel Danang Premier Han River Hotel (Đà Nẵng),  New World Phu Quoc Resort (Phú Quốc),  Khách sạn La Festa Phú Quốc,  Khách sạn Mercure French Village Bana Hills,3
Sun World Ha Long có công trình cáp treo nào của Khối Sun World?,Cáp treo Suối Mơ – Bà Nà,  Cáp treo 3 dây của Sun World Fansipan Legend,  Cáp treo nữ hoàng,Cáp treo Hòn Thơm,3
"Theo Phụ lục thực thi NVTT năm 2024 Khối Cung Ứng, một trong các yêu cầu liên quan đến NVTT về công tác Tư tưởng Văn hóa là gì?",Tích hợp Tuyên ngôn thực thi Giá trị cốt lõi của Khối vào KPIs/ OKR nhằm đánh giá đo lường kết quả thực thi Giá trị cốt lõi một cách thực chất,Triển khai đào tạo thực thi Giá trị cốt lõi Sun Group trên toàn Khối,Xây dựng bộ Tuyên ngôn thực thi Giá trị cốt lõi cho toàn bộ Khối Cung Ứng,Quy hoạch và phát triển đội ngũ kế cận theo nhu cầu kế hoạch phát triển dự án mới của Khối,1
"Theo Phụ lục thực thi NVTT năm 2024 Khối Cung Ứng, nội dung sau đây là yêu cầu đối với NVTT nào? Nâng cao nhận thức, năng lực và gắn trách nhiệm trực tiếp của Người đứng đầu với tối ưu hiệu quả hoạt động tại Khối.",Thực thi tự chủ tài chính và tối ưu hiệu quả hoạt động tại Khối,"Tăng cường tự chủ, tối ưu hóa hiệu quả tài chính",Đẩy mạnh hiệu quả hoạt động Mua sắm và Quản trị mua sắm,Tối ưu hiệu quả hoạt động và Quản trị tài chính cung ứng,4
"Theo NVTT về công tác Nhân sự của Khối Cung Ứng, việc đẩy mạnh sử dụng ứng dụng công nghệ ngoài áp dụng cho hoạt động quản trị nhân sự của đội ngũ chuyên môn nhân sự còn áp dụng cho hoạt động gì?",Đánh giá hiệu quả công việc của CBNV,Trải nghiệm của cán bộ nhân viên,Truyền thông môi trường làm việc,Nâng cao hiệu quả tương tác giữa các phòng ban,2
"Theo Phụ lục thực thi NVTT năm 2024 Khối Cung Ứng, NVTT nào là ưu tiên số 1 của Khối trong năm 2024",Nâng cao hiệu quả công tác Quản trị nhân sự và Vai trò người đứng đầu,Chú trọng triển khai công tác Tư tưởng văn hóa,Đẩy mạnh hiệu quả hoạt động Mua sắm và Quản trị mua sắm,Tối ưu hiệu quả hoạt động và Quản trị tài chính cung ứng,3
"Theo bộ KPIs năm 2024 của Khối Cung ứng, KPI Mức độ tuân thủ được đánh giá thông qua Kết quả nào?","Kết quả đánh giá mức độ tuân thủ của Đơn vị đối với (i) quy định, quy trình của Tập đoàn, (ii) quy định pháp luật, (iii) thực hiện cam kết về quản trị rủi ro","Kết quả đánh giá mức độ tuân thủ của Đơn vị đối với (i) quy định, quy trình của Tập đoàn, (ii) quy định pháp luật, (iii) thực hiện cam kết về quản trị rủi ro, (iv) thực hiện khuyến nghị của Ban Kiểm soát, Ban An ninh, Ban Thanh tra và khuyến nghị nội bộ của Đơn vị","Kết quả đánh giá mức độ tuân thủ của Đơn vị đối với (i) quy định pháp luật, (ii) tiến độ pháp lý dự án,(iii) thực hiện cam kết về quản trị rủi ro, (iv) thực hiện khuyến nghị cải thiện hệ thống của Ban Kiểm soát, Ban An ninh, Ban Thanh tra","Kết quả đánh giá mức độ tuân thủ của Đơn vị đối với (i) quy định, quy trình của Tập đoàn, (ii) quy định pháp luật, (iii) thực hiện khuyến nghị cải thiện hệ thống của Ban Kiểm soát, Ban An ninh, Ban Thanh tra",2
"Theo NVTT về công tác Tư tưởng Văn hóa của Khối Cung Ứng, việc duy trì và phát triển đội ngũ Đại sứ Văn hóa tại Khối hướng tới mục tiêu gì?","Trở thành đội ngũ tiên phong đào tạo, lan tỏa và chia sẻ Văn hóa Tập đoàn, thúc đẩy triển khai, thực thi văn hóa tại các Ban chuyên môn",Trở thành đội ngũ giảng viên nội bộ thúc đẩy công tác đào tạo chuyên môn nghiệp vụ tại Khối,"Trở thành đội ngũ tiên phong đào tạo, truyền thông, lan tỏa các tiêu chí của môi trường làm việc","Trở thành đội ngũ hỗ trợ, thúc đẩy hiệu quả công việc chung của Khối",1
"Theo Phụ lục thực thi NVTT năm 2024 Khối Cung Ứng, nội dung sau đây là yêu cầu đối với NVTT nào? Tăng cường ký Hợp đồng nguyên tắc, hợp đồng khung với các NCC uy tín, rút ngắn thời gian xử lý đơn hàng và tối ưu chi phí quản lý",Tối ưu hiệu quả hoạt động và Quản trị tài chính cung ứng,Đẩy mạnh xây dựng và phát triển các NCC uy tín,Đẩy mạnh hiệu quả hoạt động Mua sắm và Quản trị mua sắm,Nâng cao hiệu quả hoạt động đầu tư mua sắm,3
NVTT liên quan đến công tác Nhân sự được nêu trong Phụ lục thực thi NVTT năm 2024 Khối Cung Ứng là gì?,Đào tạo và phát triển nguồn nhân lực chất lượng cao,Chú trọng xây dựng môi trường làm việc hiệu quả,"Tối ưu thiết kế tổ chức, tinh gọn bộ máy, đào tạo và nâng cao chất lượng nhân sự nhằm nâng cao năng suất lao động",Nâng cao hiệu quả công tác Quản trị Nhân sự và Vai trò người đứng đầu,4
"Theo bộ KPIs Khối Cung Ứng năm 2024, KPIs Tỷ lệ đơn hàng không phù hợp về giá được phát hiện bởi bên thứ 3 chiếm tỷ trọng bao nhiêu %?",0.2,0.15,0.3,0.1,2
"Theo NVTT về công tác mua sắm của Khối Cung Ứng, việc nâng cao chất lượng dịch vụ cung ứng hàng hóa, dịch vụ cho các đơn vị TVSG đảm bảo đáp ứng về chất lượng, tiến độ giao hàng, giá cả hàng hóa phù hợp nhằm hỗ trợ hoạt động gì?",Công tác đầu tư triển khai các dự án xây dựng,"Hoạt động kinh doanh, vận hành Khối SW",Công tác kinh doanh cốt lõi của Tập đoàn,Hoạt động vận hành trên toàn Tập đoàn,3
"Liên quan đến NVTT công tác Tư tưởng Văn hóa trong năm 2024, Khối Cung ứng được giao KPI bao gồm những chỉ tiêu nào?",- Tỉ lệ hoàn thành tích hợp Tuyên ngôn thực thi Giá trị cốt lõi Tập đoàn vào KPI/OKR (số lượng + tiến độ + chất lượng) - Tỉ lệ hoàn thành chỉ tiêu ĐSVH (số lượng + chất lượng) - Tỷ lệ hoàn thành chỉ tiêu đào tạo Văn hóa,- Tỉ lệ hoàn thành tích hợp Tuyên ngôn thực thi Giá trị cốt lõi Tập đoàn vào KPI/OKR (số lượng + tiến độ + chất lượng) - Tỉ lệ hoàn thành chỉ tiêu các chương trình phát triển văn hóa theo yêu cầu (số lượng + chất lượng) - Tỷ lệ thi đạt Nghị quyết - Tỷ lệ hoàn thành chỉ tiêu đào tạo Văn hóa,- Tỉ lệ hoàn thành tích hợp Tuyên ngôn thực thi Giá trị cốt lõi Tập đoàn vào KPI/OKR (số lượng + tiến độ + chất lượng) - Tỉ lệ hoàn thành chỉ tiêu các chương trình phát triển văn hóa theo yêu cầu (số lượng + chất lượng) - Tỷ lệ thi đạt Nghị quyết,- Tỉ lệ hoàn thành tích hợp Tuyên ngôn thực thi Giá trị cốt lõi Tập đoàn vào KPI/OKR (số lượng + tiến độ + chất lượng) - Tỉ lệ hoàn thành chỉ tiêu các chương trình phát triển văn hóa theo yêu cầu (số lượng + chất lượng) - Tỉ lệ hoàn thành chỉ tiêu ĐSVH (số lượng + chất lượng) - Tỷ lệ CBLĐ/CBQL hoàn thành 03 chỉ tiêu TTVH phân bổ về từng ĐV,4
KPI Mức độ tuân thủ chiếm tỷ trọng bao nhiêu % trong bộ KPIs năm 2024 của Khối Cung ứng?,0.1,0.15,0.2,0.05,4
"Để góp phần hoàn thành Nhiệm vụ trọng tâm trong công tác Tư tưởng Văn hóa trong năm 2024, Khối Cung ứng cần hoàn thành KPI nào?",Tỷ lệ hoàn thành chỉ tiêu Tư tưởng Văn hóa,Tỷ lệ hoàn thành chỉ tiêu đào tạo Văn hóa,Tỷ lệ hoàn thành chương trình đào tạo Thực thi Giá trị cốt lõi,Tỷ lệ thi đạt Nghị quyết,1
KPI về công tác Tư tưởng Văn hóa chiếm tỷ trọng bao nhiêu % trong bộ KPIs năm 2024 của Khối Cung ứng?,0.2,0.15,0.05,0.1,3
KPI Mức độ hài lòng của khách hàng nội bộ chiếm tỷ trọng bao nhiêu % trong bộ KPIs năm 2024 của Khối Cung ứng?,0.2,0.15,0.1,0.05,3
"Theo NVTT về công tác Tài chính của Khối Cung Ứng, việc thúc đẩy công tác tự động hóa, nâng cấp các ứng dụng CNTT trong lĩnh vực Mua sắm hàng hóa thông qua triển khai ERP giai đoạn II đối với mảng nào của Khối?",Quản trị vận hành,Quản trị mua sắm và Quản trị tài chính,Quản trị mua sắm và Quản trị vận hành,Quản trị tài chính và Quản lý danh mục hàng hóa,2
NVTT liên quan đến công tác tài chính được nêu trong Phụ lục thực thi NVTT năm 2024 Khối Cung Ứng là gì?,Thực thi tự chủ tài chính và tối ưu hiệu quả hoạt động tại Khối,Tối ưu hiệu quả hoạt động và Quản trị tài chính cung ứng,Đẩy mạnh thực thi hiệu quả công tác quản trị tài chính nội bộ,Nâng cao vai trò người đứng đầu trong công tác tự chủ tài chính,2
"Theo NVTT về công tác Tài chính của Khối Cung Ứng, đối tượng nào sau đây cần nâng cao nhận thức, năng lực và gắn trách nhiệm trực tiếp với tối ưu hiệu quả hoạt động tại Khối?",Các CB 2+ của Khối/Đơn vị/Bộ phận thuộc Khối,Người đứng đầu,Giám đốc Tài chính,Ban Lãnh Đạo Khối,2
"Theo NVTT về công tác mua sắm của Khối Cung Ứng, cần tăng cường ký Hợp đồng nguyên tắc, hợp đồng khung với các NCC nào để rút ngắn thời gian xử lý đơn hàng và tối ưu chi phí quản lý?",NCC uy tín,Tất cả các NCC từ trước tới nay,NCC lâu năm,NCC mới,1
"Theo Phụ lục thực thi NVTT năm 2024 Khối Cung Ứng, nội dung sau đây là yêu cầu đối với NVTT nào? Triển khai các hoạt động truyền thông, đào tạo về Tư tưởng văn hóa Người Sun Group và quan điểm công tác Nhân sự",Chú trọng triển khai công tác Tư tưởng văn hóa,Đẩy mạnh xây dựng và phát triển đội ngũ ĐSVH,Chú trọng triển khai công tác Tư tưởng văn hóa và truyền thông nội bộ,Đẩy mạnh thực thi Giá trị cốt lõi Tập đoàn,1
